Animal,Day,Ate,Month
Sweet Pea,1,1,May
Junior,1,1,May
JJ,1,1,May
Little Guy,1,1,May
Newman,1,1,May
Yellow,1,1,May
Sweet Pea,2,0,May
Junior,2,1,May
JJ,2,1,May
Little Guy,2,1,May
Newman,2,0,May
Yellow,2,1,May
Sweet Pea,3,0,May
Junior,3,1,May
JJ,3,1,May
Little Guy,3,1,May
Newman,3,0,May
Yellow,3,1,May
Sweet Pea,4,0,May
Junior,4,1,May
JJ,4,1,May
Little Guy,4,0,May
Newman,4,0,May
Yellow,4,1,May
Yellow,5,1,May
Sweet Pea,5,0,May
Junior,5,1,May
JJ,5,1,May
Little Guy,5,1,May
Newman,5,1,May
Junior,6,1,May
JJ,6,1,May
Little Guy,6,1,May
Newman,6,0,May
Yellow,6,1,May
Yellow,7,1,May
Sweet Pea,7,0,May
Junior,7,1,May
JJ,7,1,May
Little Guy,7,1,May
Newman,7,0,May
Sweet Pea,8,0,May
Junior,8,1,May
JJ,8,1,May
Little Guy,8,0,May
Newman,8,0,May
Yellow,8,1,May
Yellow,9,0,May
Sweet Pea,9,0,May
Junior,9,1,May
JJ,9,1,May
Little Guy,9,1,May
Newman,9,0,May
Sweet Pea,10,0,May
Junior,10,1,May
JJ,10,1,May
Little Guy,10,1,May
Newman,10,1,May
Yellow,10,0,May
Yellow,11,1,May
Sweet Pea,11,0,May
Junior,11,1,May
JJ,11,1,May
Little Guy,11,1,May
Newman,11,1,May
Sweet Pea,12,0,May
Junior,12,1,May
JJ,12,1,May
Little Guy,12,1,May
Newman,12,1,May
Yellow,12,0,May
Yellow,13,1,May
Sweet Pea,13,0,May
Junior,13,1,May
JJ,13,1,May
Little Guy,13,0,May
Newman,13,0,May
Sweet Pea,14,0,May
Junior,14,1,May
JJ,14,1,May
Little Guy,14,0,May
Newman,14,0,May
Yellow,14,0,May
Yellow,15,0,May
Sweet Pea,15,0,May
Junior,15,1,May
JJ,15,1,May
Little Guy,15,0,May
Newman,15,0,May
Sweet Pea,16,0,May
Junior,16,1,May
JJ,16,1,May
Little Guy,16,0,May
Newman,16,0,May
Yellow,16,0,May
Yellow,17,1,May
Sweet Pea,17,0,May
Junior,17,1,May
JJ,17,1,May
Little Guy,17,0,May
Newman,17,0,May
Sweet Pea,18,0,May
Junior,18,1,May
JJ,18,0,May
Little Guy,18,1,May
Newman,18,1,May
Yellow,18,0,May
Yellow,19,0,May
Sweet Pea,19,0,May
Junior,19,1,May
JJ,19,1,May
Little Guy,19,1,May
Newman,19,1,May
Sweet Pea,20,0,May
Junior,20,1,May
JJ,20,1,May
Little Guy,20,0,May
Newman,20,0,May
Yellow,20,1,May
Yellow,21,0,May
Sweet Pea,21,0,May
Junior,21,1,May
JJ,21,0,May
Little Guy,21,0,May
Newman,21,0,May
Sweet Pea,22,0,May
Junior,22,1,May
JJ,22,1,May
Little Guy,22,0,May
Newman,22,0,May
Yellow,22,1,May
Yellow,23,1,May
Sweet Pea,23,0,May
Junior,23,1,May
JJ,23,1,May
Little Guy,23,0,May
Newman,23,0,May
Sweet Pea,24,0,May
Junior,24,1,May
JJ,24,0,May
Little Guy,24,0,May
Newman,24,0,May
Yellow,24,1,May
Yellow,25,1,May
Sweet Pea,25,0,May
Junior,25,1,May
JJ,25,0,May
Little Guy,25,0,May
Newman,25,0,May
Sweet Pea,26,0,May
Junior,26,1,May
JJ,26,1,May
Little Guy,26,0,May
Newman,26,0,May
Yellow,26,1,May
Yellow,27,1,May
Sweet Pea,27,0,May
Junior,27,1,May
JJ,27,1,May
Little Guy,27,1,May
Newman,27,0,May
Sweet Pea,28,0,May
Junior,28,1,May
JJ,28,0,May
Little Guy,28,0,May
Newman,28,0,May
Yellow,28,1,May
Yellow,29,1,May
Sweet Pea,29,0,May
Junior,29,1,May
JJ,29,0,May
Little Guy,29,0,May
Newman,29,0,May
Sweet Pea,30,0,May
Junior,30,1,May
JJ,30,1,May
Little Guy,30,1,May
